Log,Label
163 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.203.166,Anomaly
164 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.31.160,Anomaly
"19 INFO dfs.DataNode: 10.251.107.19:50010 Starting thread to transfer block  to 10.251.31.5:50010, 10.251.71.240:50010",Normal
19 INFO dfs.FSNamesystem: BLOCK* ask 10.251.107.19:50010 to replicate  to datanode(s) 10.251.31.5:50010 10.251.71.240:50010,Normal
145 INFO dfs.DataNode$DataXceiver: Received block  src: /10.251.31.5:53020 dest: /10.251.31.5:50010 of size 91178,Normal
148 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.127.243,Normal
149 INFO dfs.DataNode$DataXceiver: 10.251.31.5:50010 Served block  to /10.251.30.6,Normal
149 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.250.19.16,Normal
150 INFO dfs.DataNode$DataXceiver: 10.251.31.5:50010 Served block  to /10.251.214.225,Normal
150 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.74.192,Normal
151 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.250.17.177,Normal
152 INFO dfs.DataNode$DataXceiver: 10.251.31.5:50010 Served block  to /10.251.71.16,Normal
152 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.31.242,Normal
153 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.250.17.225,Normal
153 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.251.30.85,Normal
153 INFO dfs.DataNode$DataXceiver: 10.251.111.209:50010 Served block  to /10.251.66.63,Normal
153 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.66.3,Normal
154 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.126.227,Normal
154 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.42.16,Anomaly
155 INFO dfs.DataNode$DataXceiver: 10.251.215.16:50010 Served block  to /10.251.126.5,Normal
155 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.126.227,Anomaly
155 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.43.115,Normal
156 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.31.242,Anomaly
158 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.42.84,Anomaly
159 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.30.101,Anomaly
159 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.43.115,Anomaly
160 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.31.85,Anomaly
161 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.30.6,Anomaly
162 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.214.225,Anomaly
163 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.66.3,Anomaly
164 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.125.174,Anomaly
165 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.71.16,Anomaly
165 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.202.181,Anomaly
166 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.31.180,Anomaly
166 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.67.113,Anomaly
167 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.215.192,Anomaly
167 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.43.210,Anomaly
168 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.66.192,Anomaly
168 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.215.70,Anomaly
169 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.67.211,Anomaly
170 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.66.102,Anomaly
171 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.43.147,Anomaly
33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.5:50010 is added to  size 91178,Normal
33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.240:50010 is added to  size 91178,Normal
148 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.215.16:53860 dest: /10.251.215.16:50010,Normal
153 INFO dfs.DataNode$DataXceiver: 10.251.31.5:50010 Served block  to /10.251.31.180,Normal
154 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.251.67.113,Normal
154 INFO dfs.DataNode$DataXceiver: 10.251.111.209:50010 Served block  to /10.251.215.192,Normal
154 INFO dfs.DataNode$DataXceiver: 10.251.31.5:50010 Served block  to /10.251.31.160,Normal
155 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.67.225,Normal
155 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.251.42.9,Normal
155 INFO dfs.DataNode$DataXceiver: 10.251.111.209:50010 Served block  to /10.251.66.192,Normal
155 INFO dfs.DataNode$DataXceiver: 10.251.31.5:50010 Served block  to /10.251.43.147,Normal
156 INFO dfs.DataNode$DataXceiver: 10.251.111.209:50010 Served block  to /10.251.65.237,Normal
156 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.199.225,Normal
157 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.214.18,Normal
157 INFO dfs.DataNode$DataXceiver: 10.251.111.209:50010 Served block  to /10.251.201.204,Normal
157 INFO dfs.DataNode$DataXceiver: 10.251.215.16:50010 Served block  to /10.251.75.49,Normal
157 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.203.246,Normal
158 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.67.211,Normal
158 INFO dfs.DataNode$DataXceiver: 10.251.111.209:50010 Served block  to /10.251.75.163,Normal
158 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.74.227,Normal
158 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.215.16:50963 dest: /10.251.215.16:50010,Normal
159 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.194.245,Normal
159 INFO dfs.DataNode$DataXceiver: 10.251.111.209:50010 Served block  to /10.251.203.166,Normal
159 INFO dfs.DataNode$DataXceiver: 10.251.215.16:50010 Served block  to /10.251.73.220,Normal
159 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.195.33,Normal
160 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.67.225,Anomaly
161 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.42.246,Anomaly
162 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.75.228,Anomaly
163 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.195.33,Anomaly
164 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.194.245,Anomaly
165 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.42.207,Anomaly
166 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.111.130,Anomaly
169 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.65.237,Anomaly
170 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.42.9,Anomaly
171 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.74.227,Anomaly
172 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.75.49,Anomaly
172 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.67.4,Anomaly
173 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.214.18,Anomaly
174 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.42.191,Anomaly
175 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.75.163,Anomaly
175 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.75.143,Anomaly
176 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.73.220,Anomaly
176 INFO dfs.DataNode$DataXceiver: 10.251.197.226:50010 Served block  to /10.251.214.32,Anomaly
177 INFO dfs.DataNode$DataXceiver: 10.250.11.100:50010 Served block  to /10.251.214.130,Anomaly
29 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000079_0/part-00079.,Normal
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.127.191:43606 dest: /10.251.127.191:50010,Normal
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.127.191:48369 dest: /10.251.127.191:50010,Normal
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.126.5:60763 dest: /10.251.126.5:50010,Normal
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.126.227:44933 dest: /10.251.126.227:50010,Normal
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.74.227:42741 dest: /10.251.74.227:50010,Normal
145 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.125.193:54958 dest: /10.251.125.193:50010,Normal
146 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.203.149:53906 dest: /10.251.203.149:50010,Normal
146 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.30.134:51890 dest: /10.251.30.134:50010,Normal
146 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.31.5:35934 dest: /10.251.31.5:50010,Normal
147 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.203.149:48184 dest: /10.251.203.149:50010,Normal
147 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.18.114:43996 dest: /10.250.18.114:50010,Normal
148 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.30.134:58610 dest: /10.251.30.134:50010,Normal
149 INFO dfs.DataNode$DataXceiver: 10.251.107.19:50010 Served block  to /10.251.203.129,Normal
149 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.18.114:55701 dest: /10.250.18.114:50010,Normal
149 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.215.16:33900 dest: /10.251.215.16:50010,Normal
149 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.18.114:33988 dest: /10.250.18.114:50010,Normal
149 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.203.149:53912 dest: /10.251.203.149:50010,Anomaly
150 INFO dfs.DataNode$DataXceiver: 10.251.107.19:50010 Served block  to /10.251.30.179,Normal
151 INFO dfs.DataNode$DataXceiver: 10.251.107.19:50010 Served block  to /10.251.42.16,Normal
151 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.250.18.114:33992 dest: /10.250.18.114:50010,Normal
152 INFO dfs.DataNode$DataXceiver: 10.251.107.19:50010 Served block  to /10.251.126.83,Normal
153 INFO dfs.DataNode$DataXceiver: 10.251.107.19:50010 Served block  to /10.251.31.85,Normal
154 INFO dfs.DataNode$DataXceiver: 10.251.107.19:50010 Served block  to /10.251.125.237,Normal
155 INFO dfs.DataNode$DataXceiver: 10.251.107.19:50010 Served block  to /10.251.125.174,Normal
156 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.251.75.143,Normal
156 INFO dfs.DataNode$DataXceiver: 10.251.107.19:50010 Served block  to /10.251.75.228,Normal
156 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.31.5:53702 dest: /10.251.31.5:50010,Normal
157 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.31.5:53706 dest: /10.251.31.5:50010,Normal
158 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.251.214.67,Normal
159 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.251.195.70,Normal
159 INFO dfs.DataNode$DataXceiver: 10.251.107.19:50010 Served block  to /10.251.215.50,Normal
160 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.111.130,Normal
160 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.251.43.21,Normal
160 INFO dfs.DataNode$DataXceiver: 10.251.107.19:50010 Served block  to /10.251.107.19,Normal
160 INFO dfs.DataNode$DataXceiver: 10.251.215.16:50010 Served block  to /10.251.66.102,Normal
160 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.67.4,Normal
161 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.214.175,Normal
161 INFO dfs.DataNode$DataXceiver: 10.250.14.224:50010 Served block  to /10.250.14.224,Normal
161 INFO dfs.DataNode$DataXceiver: 10.251.215.16:50010 Served block  to /10.251.42.207,Normal
162 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.250.10.6,Normal
162 INFO dfs.DataNode$DataXceiver: 10.251.74.79:50010 Served block  to /10.251.194.147,Normal
162 INFO dfs.DataNode$DataXceiver: Receiving block  src: /10.251.215.16:50969 dest: /10.251.215.16:50010,Normal
163 INFO dfs.DataNode$DataXceiver: 10.250.10.6:50010 Served block  to /10.251.110.160,Normal
163 INFO dfs.DataNode$DataXceiver: 10.251.215.16:50010 Served block  to /10.251.202.181,Normal
167 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.215.50,Anomaly
168 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.214.67,Anomaly
169 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.39.179,Anomaly
170 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.43.21,Anomaly
171 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.194.147,Anomaly
172 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.250.14.224,Anomaly
173 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.194.213,Anomaly
174 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.194.129,Anomaly
175 INFO dfs.DataNode$DataXceiver: 10.251.39.179:50010 Served block  to /10.251.193.224,Anomaly
